"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－追蹤碼查詢參數對應"
"HNGetLogByTicketAPIModel","HNGetLogByTicketAPIModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－依追蹤碼查詢處理結果 API 邏輯模型","描述依追蹤碼查詢處理結果 API 的請求資料。來源為 V5.0.16 印刷頁 139，所有 API 採 POST。SecretKey 僅用於傳輸驗證，不存入 FHIR。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNGetLogByTicketAPIModel.agency","HNGetLogByTicketAPIModel.agency","","","",1,1,"","","","Identifier {[]} {[]}
","機構識別","填入 AGENCY_ID 對應的機構識別。","","","","","","","","","",,,,,"",,,,"HNGetLogByTicketAPIModel.agency",1,1,"","","Task.requester.resolve().identifier"
"HNGetLogByTicketAPIModel.ticket","HNGetLogByTicketAPIModel.ticket","","","",1,1,"","","","string {[]} {[]}
","追蹤碼","填入八位數字，保留前導零。","","","","","","","","","",8,,,,"",,,,"HNGetLogByTicketAPIModel.ticket",1,1,"","","Task.input.where(type.coding.code='ticket').valueString"
