"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－日期查詢參數對應"
"HNGetLogAPIModel","HNGetLogAPIModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－依日期查詢處理結果 API 邏輯模型","描述依日期查詢處理結果 API 的請求資料。來源為 V5.0.16 印刷頁 139，所有 API 採 POST。SecretKey 僅用於傳輸驗證，不存入 FHIR。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNGetLogAPIModel.agency","HNGetLogAPIModel.agency","","","",1,1,"","","","Identifier {[]} {[]}
","機構識別","填入 AGENCY_ID 對應的機構識別。","","","","","","","","","",,,,,"",,,,"HNGetLogAPIModel.agency",1,1,"","","Task.requester.resolve().identifier"
"HNGetLogAPIModel.startDate","HNGetLogAPIModel.startDate","","","",1,1,"","","","date {[]} {[]}
","取得資料起始日","原 API start_date 採 yyyy/MM/dd。","","","","","","","","","",,,,,"",,,,"HNGetLogAPIModel.startDate",1,1,"","","Task.input.where(type.coding.code='start-date').valueDate"
"HNGetLogAPIModel.endDate","HNGetLogAPIModel.endDate","","","",0,1,"","","","date {[]} {[]}
","取得資料結束日","原 API end_date 採 yyyy/MM/dd；未填時為起始日隔天。","","","","","","","","","",,,,,"",,,,"HNGetLogAPIModel.endDate",0,1,"","","Task.input.where(type.coding.code='end-date').valueDate"
