"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HNEvaluationAPIModel.dataList.bodyEvaluations","HNEvaluationAPIModel.dataList.bodyEvaluations","","","",0,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNBodyEvaluationsModel {[]} {[]}
","身體評估評估","身體評估評估","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList.bodyEvaluations",0,*,"",""
"HNEvaluationAPIModel.dataList.pressureInjuries","HNEvaluationAPIModel.dataList.pressureInjuries","","","",0,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNPressureInjuriesModel {[]} {[]}
","壓力性損傷危險評估","壓力性損傷危險評估","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList.pressureInjuries",0,*,"",""
"HNEvaluationAPIModel.dataList.fallRisks","HNEvaluationAPIModel.dataList.fallRisks","","","",0,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNFallRisksModel {[]} {[]}
","跌倒危險性評估","跌倒危險性評估","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList.fallRisks",0,*,"",""
"HNEvaluationAPIModel.dataList.aDLs","HNEvaluationAPIModel.dataList.aDLs","","","",0,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNADLsModel {[]} {[]}
","日常生活功能評估","日常生活功能評估","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList.aDLs",0,*,"",""
"HNEvaluationAPIModel.dataList.iADLs","HNEvaluationAPIModel.dataList.iADLs","","","",0,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNIADLsModel {[]} {[]}
","工具性日常生活活動功能評估","工具性日常生活活動功能評估","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList.iADLs",0,*,"",""
"HNEvaluationAPIModel.dataList.dementias","HNEvaluationAPIModel.dataList.dementias","","","",0,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNDementiasModel {[]} {[]}
","認知功能評估","認知功能評估","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList.dementias",0,*,"",""
"HNEvaluationAPIModel.dataList.geriatricDepressionScales","HNEvaluationAPIModel.dataList.geriatricDepressionScales","","","",0,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNGeriatricDepressionScalesModel {[]} {[]}
","情緒問題評估","情緒問題評估","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList.geriatricDepressionScales",0,*,"",""
"HNEvaluationAPIModel.dataList.mNASFs","HNEvaluationAPIModel.dataList.mNASFs","","","",0,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNMNASFsModel {[]} {[]}
","簡易營養評估","簡易營養評估","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList.mNASFs",0,*,"",""
"HNEvaluationAPIModel.dataList.painEvaluations","HNEvaluationAPIModel.dataList.painEvaluations","","","",0,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNPainEvaluationsModel {[]} {[]}
","疼痛評估","疼痛評估","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList.painEvaluations",0,*,"",""
"HNEvaluationAPIModel.dataList.sOFs","HNEvaluationAPIModel.dataList.sOFs","","","",0,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNSOFsModel {[]} {[]}
","衰弱評估","衰弱評估","","","","","","","","","",,,,,"",,,,"HNEvaluationAPIModel.dataList.sOFs",0,*,"",""
