"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HNCaseCloseAPIModel","HNCaseCloseAPIModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－個案結案 API 邏輯模型","描述個案結案 API 的請求資料。來源為 V5.0.16 印刷頁 130–132，所有 API 採 POST。SecretKey 僅用於傳輸驗證，不存入 FHIR。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNCaseCloseAPIModel.agency","HNCaseCloseAPIModel.agency","","","",1,1,"","","","Identifier {[]} {[]}
","機構識別","填入 AGENCY_ID 對應的機構識別。","","","","","","","","","",,,,,"",,,,"HNCaseCloseAPIModel.agency",1,1,"",""
"HNCaseCloseAPIModel.dataList","HNCaseCloseAPIModel.dataList","","","",1,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNCaseCloseModel {[]} {[]}
","上傳資料","逐筆填入本次上傳的資料。","","","","","","","","","",,,,,"",,,,"HNCaseCloseAPIModel.dataList",1,*,"",""
