"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HNCaseDescAPIModel","HNCaseDescAPIModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－共照紀錄 API 邏輯模型","描述共照紀錄 API 的請求資料。來源為 V5.0.16 印刷頁 122–125，所有 API 採 POST。SecretKey 僅用於傳輸驗證，不存入 FHIR。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNCaseDescAPIModel.agency","HNCaseDescAPIModel.agency","","","",1,1,"","","","Identifier {[]} {[]}
","機構識別","填入 AGENCY_ID 對應的機構識別。","","","","","","","","","",,,,,"",,,,"HNCaseDescAPIModel.agency",1,1,"",""
"HNCaseDescAPIModel.dataList","HNCaseDescAPIModel.dataList","","","",1,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNCaseDescModel {[]} {[]}
","上傳資料","逐筆填入本次上傳的資料。","","","","","","","","","",,,,,"",,,,"HNCaseDescAPIModel.dataList",1,*,"",""
