"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"HNBaseDataAPIModel","HNBaseDataAPIModel","","","",0,*,"","","","null {[]} {[]}
","居家護理－個案基本資料 API 邏輯模型","描述個案基本資料 API 的請求資料。來源為 V5.0.16 印刷頁 1–13，所有 API 採 POST。SecretKey 僅用於傳輸驗證，不存入 FHIR。","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"HNBaseDataAPIModel.agency","HNBaseDataAPIModel.agency","","","",1,1,"","","","Identifier {[]} {[]}
","機構識別","填入 AGENCY_ID 對應的機構識別。","","","","","","","","","",,,,,"",,,,"HNBaseDataAPIModel.agency",1,1,"",""
"HNBaseDataAPIModel.dataList","HNBaseDataAPIModel.dataList","","","",1,*,"","","","http://ltc-ig.fhir.tw/StructureDefinition/HNBaseDataModel {[]} {[]}
","上傳資料","逐筆填入本次上傳的資料。","","","","","","","","","",,,,,"",,,,"HNBaseDataAPIModel.dataList",1,*,"",""
