"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: 居家護理－個案基本資料欄位對應"
"HNBaseDataModel.sex.id","HNBaseDataModel.sex.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.sex.extension","HNBaseDataModel.sex.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.sex.modifierExtension","HNBaseDataModel.sex.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.sex.value","HNBaseDataModel.sex.value","","","",1,1,"","","","Coding {[]} {[]}
","選項","選項","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-c8f650cb37b1","",,,,"HNBaseDataModel.sex.value",1,1,"","","QuestionnaireResponse.item.where(linkId='Sex').item.where(linkId='Sex.Value')"
"HNBaseDataModel.sex.other","HNBaseDataModel.sex.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明。選擇其他時應填寫說明。","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.sex.other",0,1,"","","QuestionnaireResponse.item.where(linkId='Sex').item.where(linkId='Sex.Other')"
"HNBaseDataModel.caseType","HNBaseDataModel.caseType","","","",1,1,"","","","Coding {[]} {[]}
","個案類型","個案類型","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-082869c8d896","",,,,"HNBaseDataModel.caseType",1,1,"","","QuestionnaireResponse.item.where(linkId='CaseType')"
"HNBaseDataModel.birthdate","HNBaseDataModel.birthdate","","","",1,1,"","","","date {[]} {[]}
","出生日期","出生日期","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.birthdate",1,1,"","","QuestionnaireResponse.item.where(linkId='Birthdate')"
"HNBaseDataModel.phoneNumber","HNBaseDataModel.phoneNumber","","","",1,1,"","","","string {[]} {[]}
","聯絡電話","聯絡電話","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.phoneNumber",1,1,"","","QuestionnaireResponse.item.where(linkId='PhoneNumber')"
"HNBaseDataModel.address","HNBaseDataModel.address","","","",1,1,"","","","BackboneElement {[]} {[]}
","居住地址","居住地址","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.address",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Address')"
"HNBaseDataModel.address.id","HNBaseDataModel.address.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.address.extension","HNBaseDataModel.address.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.address.modifierExtension","HNBaseDataModel.address.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.address.city","HNBaseDataModel.address.city","","","",1,1,"","","","string {[]} {[]}
","縣市","縣市","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.address.city",1,1,"","","QuestionnaireResponse.item.where(linkId='Address').item.where(linkId='Address.City')"
"HNBaseDataModel.address.area","HNBaseDataModel.address.area","","","",1,1,"","","","string {[]} {[]}
","鄉鎮市區","鄉鎮市區","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.address.area",1,1,"","","QuestionnaireResponse.item.where(linkId='Address').item.where(linkId='Address.Area')"
"HNBaseDataModel.address.lane","HNBaseDataModel.address.lane","","","",1,1,"","","","string {[]} {[]}
","街路門牌","街路門牌","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.address.lane",1,1,"","","QuestionnaireResponse.item.where(linkId='Address').item.where(linkId='Address.Lane')"
"HNBaseDataModel.education","HNBaseDataModel.education","","","",1,1,"","","","BackboneElement {[]} {[]}
","教育程度","教育程度","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.education",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Education')"
"HNBaseDataModel.education.id","HNBaseDataModel.education.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.education.extension","HNBaseDataModel.education.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.education.modifierExtension","HNBaseDataModel.education.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.education.value","HNBaseDataModel.education.value","","","",1,1,"","","","Coding {[]} {[]}
","選項","選項","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-8bcd09f153b7","",,,,"HNBaseDataModel.education.value",1,1,"","","QuestionnaireResponse.item.where(linkId='Education').item.where(linkId='Education.Value')"
"HNBaseDataModel.education.other","HNBaseDataModel.education.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明。選擇其他時應填寫說明。","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.education.other",0,1,"","","QuestionnaireResponse.item.where(linkId='Education').item.where(linkId='Education.Other')"
"HNBaseDataModel.marriage","HNBaseDataModel.marriage","","","",1,1,"","","","BackboneElement {[]} {[]}
","婚姻狀況","婚姻狀況","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.marriage",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Marriage')"
"HNBaseDataModel.marriage.id","HNBaseDataModel.marriage.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.marriage.extension","HNBaseDataModel.marriage.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.marriage.modifierExtension","HNBaseDataModel.marriage.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.marriage.value","HNBaseDataModel.marriage.value","","","",1,1,"","","","Coding {[]} {[]}
","選項","選項","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-924b837448d2","",,,,"HNBaseDataModel.marriage.value",1,1,"","","QuestionnaireResponse.item.where(linkId='Marriage').item.where(linkId='Marriage.Value')"
"HNBaseDataModel.marriage.other","HNBaseDataModel.marriage.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明。選擇其他時應填寫說明。","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.marriage.other",0,1,"","","QuestionnaireResponse.item.where(linkId='Marriage').item.where(linkId='Marriage.Other')"
"HNBaseDataModel.religion","HNBaseDataModel.religion","","","",1,1,"","","","BackboneElement {[]} {[]}
","宗教信仰","宗教信仰","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.religion",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Religion')"
"HNBaseDataModel.religion.id","HNBaseDataModel.religion.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.religion.extension","HNBaseDataModel.religion.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.religion.modifierExtension","HNBaseDataModel.religion.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.religion.value","HNBaseDataModel.religion.value","","","",1,1,"","","","Coding {[]} {[]}
","選項","選項","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-f6130a2de850","",,,,"HNBaseDataModel.religion.value",1,1,"","","QuestionnaireResponse.item.where(linkId='Religion').item.where(linkId='Religion.Value')"
"HNBaseDataModel.religion.other","HNBaseDataModel.religion.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明。選擇其他時應填寫說明。","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.religion.other",0,1,"","","QuestionnaireResponse.item.where(linkId='Religion').item.where(linkId='Religion.Other')"
"HNBaseDataModel.exJob","HNBaseDataModel.exJob","","","",1,1,"","","","BackboneElement {[]} {[]}
","主要職業","主要職業","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.exJob",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='ExJob')"
"HNBaseDataModel.exJob.id","HNBaseDataModel.exJob.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.exJob.extension","HNBaseDataModel.exJob.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.exJob.modifierExtension","HNBaseDataModel.exJob.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"HNBaseDataModel.exJob.value","HNBaseDataModel.exJob.value","","","",1,1,"","","","Coding {[]} {[]}
","選項","選項","","","","","","","","","",,"required","","http://ltc-ig.fhir.tw/ValueSet/hn-vs-9bf58092b1d4","",,,,"HNBaseDataModel.exJob.value",1,1,"","","QuestionnaireResponse.item.where(linkId='ExJob').item.where(linkId='ExJob.Value')"
"HNBaseDataModel.exJob.other","HNBaseDataModel.exJob.other","","","",0,1,"","","","string {[]} {[]}
","補充說明","補充說明。選擇其他時應填寫說明。","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.exJob.other",0,1,"","","QuestionnaireResponse.item.where(linkId='ExJob').item.where(linkId='ExJob.Other')"
"HNBaseDataModel.economic","HNBaseDataModel.economic","","","",1,1,"","","","BackboneElement {[]} {[]}
","家庭經濟狀況","家庭經濟狀況","","","","","","","","","",,,,,"",,,,"HNBaseDataModel.economic",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","QuestionnaireResponse.item.where(linkId='Economic')"
"HNBaseDataModel.economic.id","HNBaseDataModel.economic.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"HNBaseDataModel.economic.extension","HNBaseDataModel.economic.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
